"","Year","Award","Nominee","Winner"
"4065","1978","ACTOR IN A SUPPORTING ROLE","Coming Home ","NO"
"4066","1978","ACTOR IN A SUPPORTING ROLE","Comes a Horseman ","NO"
"4067","1978","ACTOR IN A SUPPORTING ROLE","Midnight Express ","NO"
"4068","1978","ACTOR IN A SUPPORTING ROLE","The Deer Hunter ","YES"
"4069","1978","ACTOR IN A SUPPORTING ROLE","Heaven Can Wait ","NO"
"4070","1978","ACTRESS IN A LEADING ROLE","Autumn Sonata ","NO"
"4071","1978","ACTRESS IN A LEADING ROLE","Same Time, Next Year ","NO"
"4072","1978","ACTRESS IN A LEADING ROLE","An Unmarried Woman ","NO"
"4073","1978","ACTRESS IN A LEADING ROLE","Coming Home ","YES"
"4074","1978","ACTRESS IN A LEADING ROLE","Interiors ","NO"
"4075","1978","ACTRESS IN A SUPPORTING ROLE","Heaven Can Wait ","NO"
"4076","1978","ACTRESS IN A SUPPORTING ROLE","Coming Home ","NO"
"4077","1978","ACTRESS IN A SUPPORTING ROLE","California Suite ","YES"
"4078","1978","ACTRESS IN A SUPPORTING ROLE","Interiors ","NO"
"4079","1978","ACTRESS IN A SUPPORTING ROLE","The Deer Hunter ","NO"
"4080","1978","ART DIRECTION","The Brink's Job","NO"
"4081","1978","ART DIRECTION","California Suite","NO"
"4082","1978","ART DIRECTION","Heaven Can Wait","YES"
"4083","1978","ART DIRECTION","Interiors","NO"
"4084","1978","ART DIRECTION","The Wiz","NO"
"4085","1978","CINEMATOGRAPHY","Days of Heaven","YES"
"4086","1978","CINEMATOGRAPHY","The Deer Hunter","NO"
"4087","1978","CINEMATOGRAPHY","Heaven Can Wait","NO"
"4088","1978","CINEMATOGRAPHY","Same Time, Next Year","NO"
"4089","1978","CINEMATOGRAPHY","The Wiz","NO"
"4090","1978","COSTUME DESIGN","Caravans","NO"
"4091","1978","COSTUME DESIGN","Days of Heaven","NO"
"4092","1978","COSTUME DESIGN","Death on the Nile","YES"
"4093","1978","COSTUME DESIGN","The Swarm","NO"
"4094","1978","COSTUME DESIGN","The Wiz","NO"
"4095","1978","DIRECTING","Coming Home","NO"
"4096","1978","DIRECTING","The Deer Hunter","YES"
"4097","1978","DIRECTING","Heaven Can Wait","NO"
"4098","1978","DIRECTING","Interiors","NO"
"4099","1978","DIRECTING","Midnight Express","NO"
"4110","1978","FILM EDITING","The Boys from Brazil","NO"
"4111","1978","FILM EDITING","Coming Home","NO"
"4112","1978","FILM EDITING","The Deer Hunter","YES"
"4113","1978","FILM EDITING","Midnight Express","NO"
"4114","1978","FILM EDITING","Superman","NO"
"4120","1978","Music (Scoring)","The Buddy Holly Story","YES"
"4121","1978","Music (Scoring)","Pretty Baby","NO"
"4122","1978","Music (Scoring)","The Wiz","NO"
"4123","1978","Music (Scoring)","The Boys from Brazil","NO"
"4124","1978","Music (Scoring)","Days of Heaven","NO"
"4125","1978","Music (Scoring)","Heaven Can Wait","NO"
"4126","1978","Music (Scoring)","Midnight Express","YES"
"4127","1978","Music (Scoring)","Superman","NO"
"4128","1978","Music (Song)","Grease","NO"
"4129","1978","Music (Song)","Thank God It's Friday","YES"
"4130","1978","Music (Song)","Same Time, Next Year","NO"
"4131","1978","Music (Song)","Foul Play","NO"
"4132","1978","Music (Song)","The Magic of Lassie","NO"
"4133","1978","BEST PICTURE","Coming Home","NO"
"4134","1978","BEST PICTURE","The Deer Hunter","YES"
"4135","1978","BEST PICTURE","Heaven Can Wait","NO"
"4136","1978","BEST PICTURE","Midnight Express","NO"
"4137","1978","BEST PICTURE","An Unmarried Woman","NO"
"4145","1978","SOUND MIXING","The Buddy Holly Story","NO"
"4146","1978","SOUND MIXING","Days of Heaven","NO"
"4147","1978","SOUND MIXING","The Deer Hunter","YES"
"4148","1978","SOUND MIXING","Hooper","NO"
"4149","1978","SOUND MIXING","Superman","NO"
"4150","1978","VISUAL EFFECTS","Superman","YES"
"4151","1978","Writing","Bloodbrothers","NO"
"4152","1978","Writing","California Suite","NO"
"4153","1978","Writing","Heaven Can Wait","NO"
"4154","1978","Writing","Midnight Express","YES"
"4155","1978","Writing","Same Time, Next Year","NO"
"4156","1978","Writing","Autumn Sonata","NO"
"4157","1978","Writing","Coming Home","YES"
"4158","1978","Writing","The Deer Hunter","NO"
"4159","1978","Writing","Interiors","NO"
"4160","1978","Writing","An Unmarried Woman","NO"
"4180","1977","ACTOR IN A LEADING ROLE","Annie Hall ","NO"
"4181","1977","ACTOR IN A LEADING ROLE","Equus ","NO"
"4182","1977","ACTOR IN A LEADING ROLE","The Goodbye Girl ","YES"
"4183","1977","ACTOR IN A LEADING ROLE","A Special Day ","NO"
"4184","1977","ACTOR IN A LEADING ROLE","Saturday Night Fever ","NO"
"4185","1977","ACTOR IN A SUPPORTING ROLE","The Turning Point ","NO"
"4186","1977","ACTOR IN A SUPPORTING ROLE","Equus ","NO"
"4187","1977","ACTOR IN A SUPPORTING ROLE","Star Wars ","NO"
"4188","1977","ACTOR IN A SUPPORTING ROLE","Julia ","YES"
"4189","1977","ACTOR IN A SUPPORTING ROLE","Julia ","NO"
"4190","1977","ACTRESS IN A LEADING ROLE","The Turning Point ","NO"
"4191","1977","ACTRESS IN A LEADING ROLE","Julia ","NO"
"4192","1977","ACTRESS IN A LEADING ROLE","Annie Hall ","YES"
"4193","1977","ACTRESS IN A LEADING ROLE","The Turning Point ","NO"
"4194","1977","ACTRESS IN A LEADING ROLE","The Goodbye Girl ","NO"
"4195","1977","ACTRESS IN A SUPPORTING ROLE","The Turning Point ","NO"
"4196","1977","ACTRESS IN A SUPPORTING ROLE","The Goodbye Girl ","NO"
"4197","1977","ACTRESS IN A SUPPORTING ROLE","Close Encounters of the Third Kind ","NO"
"4198","1977","ACTRESS IN A SUPPORTING ROLE","Julia ","YES"
"4199","1977","ACTRESS IN A SUPPORTING ROLE","Looking for Mr. Goodbar ","NO"
"4200","1977","ART DIRECTION","Airport '77","NO"
"4201","1977","ART DIRECTION","Close Encounters of the Third Kind","NO"
"4202","1977","ART DIRECTION","The Spy Who Loved Me","NO"
"4203","1977","ART DIRECTION","Star Wars","YES"
"4204","1977","ART DIRECTION","The Turning Point","NO"
"4205","1977","CINEMATOGRAPHY","Close Encounters of the Third Kind","YES"
"4206","1977","CINEMATOGRAPHY","Islands in the Stream","NO"
"4207","1977","CINEMATOGRAPHY","Julia","NO"
"4208","1977","CINEMATOGRAPHY","Looking for Mr. Goodbar","NO"
"4209","1977","CINEMATOGRAPHY","The Turning Point","NO"
"4210","1977","COSTUME DESIGN","Airport '77","NO"
"4211","1977","COSTUME DESIGN","Julia","NO"
"4212","1977","COSTUME DESIGN","A Little Night Music","NO"
"4213","1977","COSTUME DESIGN","The Other Side of Midnight","NO"
"4214","1977","COSTUME DESIGN","Star Wars","YES"
"4215","1977","DIRECTING","Annie Hall","YES"
"4216","1977","DIRECTING","Close Encounters of the Third Kind","NO"
"4217","1977","DIRECTING","Julia","NO"
"4218","1977","DIRECTING","Star Wars","NO"
"4219","1977","DIRECTING","The Turning Point","NO"
"4230","1977","FILM EDITING","Close Encounters of the Third Kind","NO"
"4231","1977","FILM EDITING","Julia","NO"
"4232","1977","FILM EDITING","Smokey and the Bandit","NO"
"4233","1977","FILM EDITING","Star Wars","YES"
"4234","1977","FILM EDITING","The Turning Point","NO"
"4240","1977","Music (Scoring)","Close Encounters of the Third Kind","NO"
"4241","1977","Music (Scoring)","Julia","NO"
"4242","1977","Music (Scoring)","Mohammad - Messenger of God","NO"
"4243","1977","Music (Scoring)","The Spy Who Loved Me","NO"
"4244","1977","Music (Scoring)","Star Wars","YES"
"4245","1977","Music (Scoring)","A Little Night Music","YES"
"4246","1977","Music (Scoring)","Pete's Dragon","NO"
"4247","1977","Music (Scoring)","The Slipper and the Rose--The Story of Cinderella","NO"
"4248","1977","Music (Song)","Pete's Dragon","NO"
"4249","1977","Music (Song)","The Spy Who Loved Me","NO"
"4250","1977","Music (Song)","The Slipper and the Rose--The Story of Cinderella","NO"
"4251","1977","Music (Song)","The Rescuers","NO"
"4252","1977","Music (Song)","You Light Up My Life","YES"
"4253","1977","BEST PICTURE","Annie Hall","YES"
"4254","1977","BEST PICTURE","The Goodbye Girl","NO"
"4255","1977","BEST PICTURE","Julia","NO"
"4256","1977","BEST PICTURE","Star Wars","NO"
"4257","1977","BEST PICTURE","The Turning Point","NO"
"4267","1977","SOUND MIXING","Close Encounters of the Third Kind","NO"
"4268","1977","SOUND MIXING","The Deep","NO"
"4269","1977","SOUND MIXING","Sorcerer","NO"
"4270","1977","SOUND MIXING","Star Wars","YES"
"4271","1977","SOUND MIXING","The Turning Point","NO"
"4272","1977","SOUND EDITING","Close Encounters of the Third Kind","YES"
"4273","1977","VISUAL EFFECTS","Close Encounters of the Third Kind","NO"
"4274","1977","VISUAL EFFECTS","Star Wars","YES"
"4275","1977","Writing","Equus","NO"
"4276","1977","Writing","I Never Promised You a Rose Garden","NO"
"4277","1977","Writing","Julia","YES"
"4278","1977","Writing","Oh, God!","NO"
"4279","1977","Writing","That Obscure Object of Desire","NO"
"4280","1977","Writing","Annie Hall","YES"
"4281","1977","Writing","The Goodbye Girl","NO"
"4282","1977","Writing","The Late Show","NO"
"4283","1977","Writing","Star Wars","NO"
"4284","1977","Writing","The Turning Point","NO"
"4305","1976","ACTOR IN A LEADING ROLE","Taxi Driver ","NO"
"4306","1976","ACTOR IN A LEADING ROLE","Network ","YES"
"4307","1976","ACTOR IN A LEADING ROLE","Seven Beauties ","NO"
"4308","1976","ACTOR IN A LEADING ROLE","Network ","NO"
"4309","1976","ACTOR IN A LEADING ROLE","Rocky ","NO"
"4310","1976","ACTOR IN A SUPPORTING ROLE","Network ","NO"
"4311","1976","ACTOR IN A SUPPORTING ROLE","Rocky ","NO"
"4312","1976","ACTOR IN A SUPPORTING ROLE","Marathon Man ","NO"
"4313","1976","ACTOR IN A SUPPORTING ROLE","All the President's Men ","YES"
"4314","1976","ACTOR IN A SUPPORTING ROLE","Rocky ","NO"
"4315","1976","ACTRESS IN A LEADING ROLE","Cousin, Cousine ","NO"
"4316","1976","ACTRESS IN A LEADING ROLE","Network ","YES"
"4317","1976","ACTRESS IN A LEADING ROLE","Rocky ","NO"
"4318","1976","ACTRESS IN A LEADING ROLE","Carrie ","NO"
"4319","1976","ACTRESS IN A LEADING ROLE","Face to Face ","NO"
"4320","1976","ACTRESS IN A SUPPORTING ROLE","All the President's Men ","NO"
"4321","1976","ACTRESS IN A SUPPORTING ROLE","Taxi Driver ","NO"
"4322","1976","ACTRESS IN A SUPPORTING ROLE","Voyage of the Damned ","NO"
"4323","1976","ACTRESS IN A SUPPORTING ROLE","Carrie ","NO"
"4324","1976","ACTRESS IN A SUPPORTING ROLE","Network ","YES"
"4325","1976","ART DIRECTION","All the President's Men","YES"
"4326","1976","ART DIRECTION","The Incredible Sarah","NO"
"4327","1976","ART DIRECTION","The Last Tycoon","NO"
"4328","1976","ART DIRECTION","Logan's Run","NO"
"4329","1976","ART DIRECTION","The Shootist","NO"
"4330","1976","CINEMATOGRAPHY","Bound for Glory","YES"
"4331","1976","CINEMATOGRAPHY","King Kong","NO"
"4332","1976","CINEMATOGRAPHY","Logan's Run","NO"
"4333","1976","CINEMATOGRAPHY","Network","NO"
"4334","1976","CINEMATOGRAPHY","A Star Is Born","NO"
"4335","1976","COSTUME DESIGN","Bound for Glory","NO"
"4336","1976","COSTUME DESIGN","Fellini's Casanova","YES"
"4337","1976","COSTUME DESIGN","The Incredible Sarah","NO"
"4338","1976","COSTUME DESIGN","The Passover Plot","NO"
"4339","1976","COSTUME DESIGN","The Seven-per-cent Solution","NO"
"4340","1976","DIRECTING","All the President's Men","NO"
"4341","1976","DIRECTING","Face to Face","NO"
"4342","1976","DIRECTING","Network","NO"
"4343","1976","DIRECTING","Rocky","YES"
"4344","1976","DIRECTING","Seven Beauties","NO"
"4355","1976","FILM EDITING","All the President's Men","NO"
"4356","1976","FILM EDITING","Bound for Glory","NO"
"4357","1976","FILM EDITING","Network","NO"
"4358","1976","FILM EDITING","Rocky","YES"
"4359","1976","FILM EDITING","Two-Minute Warning","NO"
"4365","1976","Music (Scoring)","Obsession","NO"
"4366","1976","Music (Scoring)","The Omen","YES"
"4367","1976","Music (Scoring)","The Outlaw Josey Wales","NO"
"4368","1976","Music (Scoring)","Taxi Driver","NO"
"4369","1976","Music (Scoring)","Voyage of the Damned","NO"
"4370","1976","Music (Scoring)","Bound for Glory","YES"
"4371","1976","Music (Scoring)","Bugsy Malone","NO"
"4372","1976","Music (Scoring)","A Star Is Born","NO"
"4373","1976","Music (Song)","The Omen","NO"
"4374","1976","Music (Song)","The Pink Panther Strikes Again","NO"
"4375","1976","Music (Song)","A Star Is Born","YES"
"4376","1976","Music (Song)","Rocky","NO"
"4377","1976","Music (Song)","Half a House","NO"
"4378","1976","BEST PICTURE","All the President's Men","NO"
"4379","1976","BEST PICTURE","Bound for Glory","NO"
"4380","1976","BEST PICTURE","Network","NO"
"4381","1976","BEST PICTURE","Rocky","YES"
"4382","1976","BEST PICTURE","Taxi Driver","NO"
"4391","1976","SOUND MIXING","All the President's Men","YES"
"4392","1976","SOUND MIXING","King Kong","NO"
"4393","1976","SOUND MIXING","Rocky","NO"
"4394","1976","SOUND MIXING","Silver Streak","NO"
"4395","1976","SOUND MIXING","A Star Is Born","NO"
"4396","1976","VISUAL EFFECTS","King Kong","YES"
"4397","1976","VISUAL EFFECTS","Logan's Run","YES"
"4398","1976","Writing","All the President's Men","YES"
"4399","1976","Writing","Bound for Glory","NO"
"4400","1976","Writing","Fellini's Casanova","NO"
"4401","1976","Writing","The Seven-per-cent Solution","NO"
"4402","1976","Writing","Voyage of the Damned","NO"
"4403","1976","Writing","Cousin, Cousine","NO"
"4404","1976","Writing","The Front","NO"
"4405","1976","Writing","Network","YES"
"4406","1976","Writing","Rocky","NO"
"4407","1976","Writing","Seven Beauties","NO"
"4418","1975","ACTOR IN A LEADING ROLE","The Sunshine Boys ","NO"
"4419","1975","ACTOR IN A LEADING ROLE","One Flew over the Cuckoo's Nest ","YES"
"4420","1975","ACTOR IN A LEADING ROLE","Dog Day Afternoon ","NO"
"4421","1975","ACTOR IN A LEADING ROLE","The Man in the Glass Booth ","NO"
"4422","1975","ACTOR IN A LEADING ROLE","Give 'em Hell, Harry! ","NO"
"4423","1975","ACTOR IN A SUPPORTING ROLE","The Sunshine Boys ","YES"
"4424","1975","ACTOR IN A SUPPORTING ROLE","One Flew over the Cuckoo's Nest ","NO"
"4425","1975","ACTOR IN A SUPPORTING ROLE","The Day of the Locust ","NO"
"4426","1975","ACTOR IN A SUPPORTING ROLE","Dog Day Afternoon ","NO"
"4427","1975","ACTOR IN A SUPPORTING ROLE","Shampoo ","NO"
"4428","1975","ACTRESS IN A LEADING ROLE","The Story of Adele H. ","NO"
"4429","1975","ACTRESS IN A LEADING ROLE","Tommy ","NO"
"4430","1975","ACTRESS IN A LEADING ROLE","One Flew over the Cuckoo's Nest ","YES"
"4431","1975","ACTRESS IN A LEADING ROLE","Hedda ","NO"
"4432","1975","ACTRESS IN A LEADING ROLE","Hester Street ","NO"
"4433","1975","ACTRESS IN A SUPPORTING ROLE","Nashville ","NO"
"4434","1975","ACTRESS IN A SUPPORTING ROLE","Shampoo ","YES"
"4435","1975","ACTRESS IN A SUPPORTING ROLE","Farewell, My Lovely ","NO"
"4436","1975","ACTRESS IN A SUPPORTING ROLE","Nashville ","NO"
"4437","1975","ACTRESS IN A SUPPORTING ROLE","Jacqueline Susann's Once Is Not Enough ","NO"
"4438","1975","ART DIRECTION","Barry Lyndon","YES"
"4439","1975","ART DIRECTION","The Hindenburg","NO"
"4440","1975","ART DIRECTION","The Man Who Would Be King","NO"
"4441","1975","ART DIRECTION","Shampoo","NO"
"4442","1975","ART DIRECTION","The Sunshine Boys","NO"
"4443","1975","CINEMATOGRAPHY","Barry Lyndon","YES"
"4444","1975","CINEMATOGRAPHY","The Day of the Locust","NO"
"4445","1975","CINEMATOGRAPHY","Funny Lady","NO"
"4446","1975","CINEMATOGRAPHY","The Hindenburg","NO"
"4447","1975","CINEMATOGRAPHY","One Flew over the Cuckoo's Nest","NO"
"4448","1975","COSTUME DESIGN","Barry Lyndon","YES"
"4449","1975","COSTUME DESIGN","The Four Musketeers","NO"
"4450","1975","COSTUME DESIGN","Funny Lady","NO"
"4451","1975","COSTUME DESIGN","The Magic Flute","NO"
"4452","1975","COSTUME DESIGN","The Man Who Would Be King","NO"
"4453","1975","DIRECTING","Amarcord","NO"
"4454","1975","DIRECTING","Barry Lyndon","NO"
"4455","1975","DIRECTING","Dog Day Afternoon","NO"
"4456","1975","DIRECTING","Nashville","NO"
"4457","1975","DIRECTING","One Flew over the Cuckoo's Nest","YES"
"4468","1975","FILM EDITING","Dog Day Afternoon","NO"
"4469","1975","FILM EDITING","Jaws","YES"
"4470","1975","FILM EDITING","The Man Who Would Be King","NO"
"4471","1975","FILM EDITING","One Flew over the Cuckoo's Nest","NO"
"4472","1975","FILM EDITING","Three Days of the Condor","NO"
"4478","1975","Music (Scoring)","Birds Do It, Bees Do It","NO"
"4479","1975","Music (Scoring)","Bite the Bullet","NO"
"4480","1975","Music (Scoring)","Jaws","YES"
"4481","1975","Music (Scoring)","One Flew over the Cuckoo's Nest","NO"
"4482","1975","Music (Scoring)","The Wind and the Lion","NO"
"4483","1975","Music (Scoring)","Barry Lyndon","YES"
"4484","1975","Music (Scoring)","Funny Lady","NO"
"4485","1975","Music (Scoring)","Tommy","NO"
"4486","1975","Music (Song)","Funny Lady","NO"
"4487","1975","Music (Song)","Nashville","YES"
"4488","1975","Music (Song)","Whiffs","NO"
"4489","1975","Music (Song)","The Other Side of the Mountain","NO"
"4490","1975","Music (Song)","Mahogany","NO"
"4491","1975","BEST PICTURE","Barry Lyndon","NO"
"4492","1975","BEST PICTURE","Dog Day Afternoon","NO"
"4493","1975","BEST PICTURE","Jaws","NO"
"4494","1975","BEST PICTURE","Nashville","NO"
"4495","1975","BEST PICTURE","One Flew over the Cuckoo's Nest","YES"
"4505","1975","SOUND MIXING","Bite the Bullet","NO"
"4506","1975","SOUND MIXING","Funny Lady","NO"
"4507","1975","SOUND MIXING","The Hindenburg","NO"
"4508","1975","SOUND MIXING","Jaws","YES"
"4509","1975","SOUND MIXING","The Wind and the Lion","NO"
"4510","1975","SOUND EDITING","The Hindenburg","YES"
"4511","1975","VISUAL EFFECTS","The Hindenburg","YES"
"4512","1975","Writing","Amarcord","NO"
"4513","1975","Writing","And Now My Love","NO"
"4514","1975","Writing","Dog Day Afternoon","YES"
"4515","1975","Writing","Lies My Father Told Me","NO"
"4516","1975","Writing","Shampoo","NO"
"4517","1975","Writing","Barry Lyndon","NO"
"4518","1975","Writing","The Man Who Would Be King","NO"
"4519","1975","Writing","One Flew over the Cuckoo's Nest","YES"
"4520","1975","Writing","Scent of a Woman","NO"
"4521","1975","Writing","The Sunshine Boys","NO"
"4536","1974","ACTOR IN A LEADING ROLE","Harry and Tonto ","YES"
"4537","1974","ACTOR IN A LEADING ROLE","Murder on the Orient Express ","NO"
"4538","1974","ACTOR IN A LEADING ROLE","Lenny ","NO"
"4539","1974","ACTOR IN A LEADING ROLE","Chinatown ","NO"
"4540","1974","ACTOR IN A LEADING ROLE","The Godfather Part II ","NO"
"4541","1974","ACTOR IN A SUPPORTING ROLE","The Towering Inferno ","NO"
"4542","1974","ACTOR IN A SUPPORTING ROLE","Thunderbolt and Lightfoot ","NO"
"4543","1974","ACTOR IN A SUPPORTING ROLE","The Godfather Part II ","YES"
"4544","1974","ACTOR IN A SUPPORTING ROLE","The Godfather Part II ","NO"
"4545","1974","ACTOR IN A SUPPORTING ROLE","The Godfather Part II ","NO"
"4546","1974","ACTRESS IN A LEADING ROLE","Alice Doesn't Live Here Anymore ","YES"
"4547","1974","ACTRESS IN A LEADING ROLE","Claudine ","NO"
"4548","1974","ACTRESS IN A LEADING ROLE","Chinatown ","NO"
"4549","1974","ACTRESS IN A LEADING ROLE","Lenny ","NO"
"4550","1974","ACTRESS IN A LEADING ROLE","A Woman under the Influence ","NO"
"4551","1974","ACTRESS IN A SUPPORTING ROLE","Murder on the Orient Express ","YES"
"4552","1974","ACTRESS IN A SUPPORTING ROLE","Day for Night ","NO"
"4553","1974","ACTRESS IN A SUPPORTING ROLE","Blazing Saddles ","NO"
"4554","1974","ACTRESS IN A SUPPORTING ROLE","Alice Doesn't Live Here Anymore ","NO"
"4555","1974","ACTRESS IN A SUPPORTING ROLE","The Godfather Part II ","NO"
"4556","1974","ART DIRECTION","Chinatown","NO"
"4557","1974","ART DIRECTION","Earthquake","NO"
"4558","1974","ART DIRECTION","The Godfather Part II","YES"
"4559","1974","ART DIRECTION","The Island at the Top of the World","NO"
"4560","1974","ART DIRECTION","The Towering Inferno","NO"
"4561","1974","CINEMATOGRAPHY","Chinatown","NO"
"4562","1974","CINEMATOGRAPHY","Earthquake","NO"
"4563","1974","CINEMATOGRAPHY","Lenny","NO"
"4564","1974","CINEMATOGRAPHY","Murder on the Orient Express","NO"
"4565","1974","CINEMATOGRAPHY","The Towering Inferno","YES"
"4566","1974","COSTUME DESIGN","Chinatown","NO"
"4567","1974","COSTUME DESIGN","Daisy Miller","NO"
"4568","1974","COSTUME DESIGN","The Godfather Part II","NO"
"4569","1974","COSTUME DESIGN","The Great Gatsby","YES"
"4570","1974","COSTUME DESIGN","Murder on the Orient Express","NO"
"4571","1974","DIRECTING","Chinatown","NO"
"4572","1974","DIRECTING","Day for Night","NO"
"4573","1974","DIRECTING","The Godfather Part II","YES"
"4574","1974","DIRECTING","Lenny","NO"
"4575","1974","DIRECTING","A Woman under the Influence","NO"
"4586","1974","FILM EDITING","Blazing Saddles","NO"
"4587","1974","FILM EDITING","Chinatown","NO"
"4588","1974","FILM EDITING","Earthquake","NO"
"4589","1974","FILM EDITING","The Longest Yard","NO"
"4590","1974","FILM EDITING","The Towering Inferno","YES"
"4596","1974","Music (Scoring)","Chinatown","NO"
"4597","1974","Music (Scoring)","The Godfather Part II","YES"
"4598","1974","Music (Scoring)","Murder on the Orient Express","NO"
"4599","1974","Music (Scoring)","Shanks","NO"
"4600","1974","Music (Scoring)","The Towering Inferno","NO"
"4601","1974","Music (Scoring)","The Great Gatsby","YES"
"4602","1974","Music (Scoring)","The Little Prince","NO"
"4603","1974","Music (Scoring)","Phantom of the Paradise","NO"
"4604","1974","Music (Song)","Benji","NO"
"4605","1974","Music (Song)","Blazing Saddles","NO"
"4606","1974","Music (Song)","The Little Prince","NO"
"4607","1974","Music (Song)","The Towering Inferno","YES"
"4608","1974","Music (Song)","Gold","NO"
"4609","1974","BEST PICTURE","Chinatown","NO"
"4610","1974","BEST PICTURE","The Conversation","NO"
"4611","1974","BEST PICTURE","The Godfather Part II","YES"
"4612","1974","BEST PICTURE","Lenny","NO"
"4613","1974","BEST PICTURE","The Towering Inferno","NO"
"4624","1974","SOUND MIXING","Chinatown","NO"
"4625","1974","SOUND MIXING","The Conversation","NO"
"4626","1974","SOUND MIXING","Earthquake","YES"
"4627","1974","SOUND MIXING","The Towering Inferno","NO"
"4628","1974","SOUND MIXING","Young Frankenstein","NO"
"4629","1974","VISUAL EFFECTS","Earthquake","YES"
"4630","1974","Writing","Alice Doesn't Live Here Anymore","NO"
"4631","1974","Writing","Chinatown","YES"
"4632","1974","Writing","The Conversation","NO"
"4633","1974","Writing","Day for Night","NO"
"4634","1974","Writing","Harry and Tonto","NO"
"4635","1974","Writing","The Apprenticeship of Duddy Kravitz","NO"
"4636","1974","Writing","The Godfather Part II","YES"
"4637","1974","Writing","Lenny","NO"
"4638","1974","Writing","Murder on the Orient Express","NO"
"4639","1974","Writing","Young Frankenstein","NO"
"4651","1973","ACTOR IN A LEADING ROLE","Last Tango in Paris ","NO"
"4652","1973","ACTOR IN A LEADING ROLE","Save the Tiger ","YES"
"4653","1973","ACTOR IN A LEADING ROLE","The Last Detail ","NO"
"4654","1973","ACTOR IN A LEADING ROLE","Serpico ","NO"
"4655","1973","ACTOR IN A LEADING ROLE","The Sting ","NO"
"4656","1973","ACTOR IN A SUPPORTING ROLE","Bang the Drum Slowly ","NO"
"4657","1973","ACTOR IN A SUPPORTING ROLE","Save the Tiger ","NO"
"4658","1973","ACTOR IN A SUPPORTING ROLE","The Paper Chase ","YES"
"4659","1973","ACTOR IN A SUPPORTING ROLE","The Exorcist ","NO"
"4660","1973","ACTOR IN A SUPPORTING ROLE","The Last Detail ","NO"
"4661","1973","ACTRESS IN A LEADING ROLE","The Exorcist ","NO"
"4662","1973","ACTRESS IN A LEADING ROLE","A Touch of Class ","YES"
"4663","1973","ACTRESS IN A LEADING ROLE","Cinderella Liberty ","NO"
"4664","1973","ACTRESS IN A LEADING ROLE","The Way We Were ","NO"
"4665","1973","ACTRESS IN A LEADING ROLE","Summer Wishes, Winter Dreams ","NO"
"4666","1973","ACTRESS IN A SUPPORTING ROLE","The Exorcist ","NO"
"4667","1973","ACTRESS IN A SUPPORTING ROLE","American Graffiti ","NO"
"4668","1973","ACTRESS IN A SUPPORTING ROLE","Paper Moon ","NO"
"4669","1973","ACTRESS IN A SUPPORTING ROLE","Paper Moon ","YES"
"4670","1973","ACTRESS IN A SUPPORTING ROLE","Summer Wishes, Winter Dreams ","NO"
"4671","1973","ART DIRECTION","Brother Sun Sister Moon","NO"
"4672","1973","ART DIRECTION","The Exorcist","NO"
"4673","1973","ART DIRECTION","The Sting","YES"
"4674","1973","ART DIRECTION","Tom Sawyer","NO"
"4675","1973","ART DIRECTION","The Way We Were","NO"
"4676","1973","CINEMATOGRAPHY","Cries and Whispers","YES"
"4677","1973","CINEMATOGRAPHY","The Exorcist","NO"
"4678","1973","CINEMATOGRAPHY","Jonathan Livingston Seagull","NO"
"4679","1973","CINEMATOGRAPHY","The Sting","NO"
"4680","1973","CINEMATOGRAPHY","The Way We Were","NO"
"4681","1973","COSTUME DESIGN","Cries and Whispers","NO"
"4682","1973","COSTUME DESIGN","Ludwig","NO"
"4683","1973","COSTUME DESIGN","The Sting","YES"
"4684","1973","COSTUME DESIGN","Tom Sawyer","NO"
"4685","1973","COSTUME DESIGN","The Way We Were","NO"
"4686","1973","DIRECTING","American Graffiti","NO"
"4687","1973","DIRECTING","Cries and Whispers","NO"
"4688","1973","DIRECTING","The Exorcist","NO"
"4689","1973","DIRECTING","Last Tango in Paris","NO"
"4690","1973","DIRECTING","The Sting","YES"
"4701","1973","FILM EDITING","American Graffiti","NO"
"4702","1973","FILM EDITING","The Day of the Jackal","NO"
"4703","1973","FILM EDITING","The Exorcist","NO"
"4704","1973","FILM EDITING","Jonathan Livingston Seagull","NO"
"4705","1973","FILM EDITING","The Sting","YES"
"4711","1973","Music (Scoring)","Cinderella Liberty","NO"
"4712","1973","Music (Scoring)","The Day of the Dolphin","NO"
"4713","1973","Music (Scoring)","Papillon","NO"
"4714","1973","Music (Scoring)","A Touch of Class","NO"
"4715","1973","Music (Scoring)","The Way We Were","YES"
"4716","1973","Music (Scoring)","Jesus Christ Superstar","NO"
"4717","1973","Music (Scoring)","The Sting","YES"
"4718","1973","Music (Scoring)","Tom Sawyer","NO"
"4719","1973","Music (Song)","A Touch of Class","NO"
"4720","1973","Music (Song)","Live and Let Die","NO"
"4721","1973","Music (Song)","Robin Hood","NO"
"4722","1973","Music (Song)","Cinderella Liberty","NO"
"4723","1973","Music (Song)","The Way We Were","YES"
"4724","1973","BEST PICTURE","American Graffiti","NO"
"4725","1973","BEST PICTURE","Cries and Whispers","NO"
"4726","1973","BEST PICTURE","The Exorcist","NO"
"4727","1973","BEST PICTURE","The Sting","YES"
"4728","1973","BEST PICTURE","A Touch of Class","NO"
"4735","1973","SOUND MIXING","The Day of the Dolphin","NO"
